2-1-2025,1022.9,,,,,,,,,,,,,,
2-2-2025,1019.4,,,,,,,,,,,,,,
2-3-2025,1022.8,1024.9,,,,,,,,,,,,,
2-4-2025,1028.0,1029.1,1029.6,,,,,,,,,,,,
2-5-2025,1032.2,1033.5,1033.2,1034.3,,,,,,,,,,,
2-6-2025,1028.3,1030.1,1029.7,1029.8,1031.5,,,,,,,,,,
2-8-2025,1021.1,1022.6,1022.4,1022.7,1023.5,1025.3,1020.1,,,,,,,,
2-8-2025,1021.1,1022.6,1022.4,1022.7,1023.5,1025.3,1020.1,,,,,,,,
2-9-2025,1025.1,1022.1,1026.8,1027.4,1029.4,1025.4,1022.2,1016.3,,,,,,,
2-10-2025,1020.6,1021.8,1019.1,1022.6,1023.2,1023.4,1019.6,1017.8,1013.6,,,,,,
2-11-2025,1017.2,1018.0,1018.5,1020.0,1019.6,1018.2,1018.0,1016.4,1018.1,1010.6,,,,,
2-12-2025,1016.3,1017.2,1017.8,1017.0,1022.2,1019.1,1019.4,1018.6,1017.5,1017.0,1012.0,,,,
2-13-2025,1019.2,1020.1,1020.6,1020.1,1019.8,1021.0,1018.4,1019.1,1019.6,1018.3,1008.0,1023.6,1015.9,,
2-14-2025,1014.7,1015.3,1016.5,1016.0,1014.3,1015.8,1019.0,1020.3,1014.4,1015.6,1011.2,1006.7,1021.9,1010.4,
2-15-2025,1014.7,1015.3,1016.5,1016.0,1014.3,1015.8,1019.0,1020.3,1014.4,1015.6,1011.2,1006.7,1021.9,1010.4,
2-16-2025,1014.7,1016.0,1016.4,1017.0,1016.1,1015.4,1012.6,1017.0,1023.0,1014.4,1011.9,1017.0,1017.7,1019.6,1005.9
2-17-2025,1016.2,1016.7,1011.9,1012.7,1018.6,1017.8,1015.9,1012.0,1013.6,1018.6,1017.6,1003.9,1016.7,1024.9,1016.0
2-18-2025,1013.1,1013.4,1013.5,1018.6,1018.1,1016.6,1018.1,1011.0,1008.5,1002.2,1017.6,1015.3,998.3,1015.3,1024.3
2-20-2025,1021.5,1023.0,1021.3,1020.5,1020.4,1022.1,1023.3,1018.9,1022.2,1017.4,1023.0,1017.0,1009.5,1008.1,1026.4
2-21-2025,1021.5,1023.0,1021.3,1020.5,1020.4,1022.1,1023.3,1018.9,1022.2,1017.4,1023.0,1017.0,1009.5,1008.1,1026.4
2-22-2025,1021.1,1029.0,1022.3,1022.7,1023.6,1025.1,1023.1,1028.4,1026.8,1023.1,1012.1,1025.5,1015.2,1009.3,1009.8
