Time,Position (y)
5.51667,1.53178
5.53333,1.5321
5.55,1.53247
5.56667,1.53287
5.58333,1.53321
5.6,1.53349
5.61667,1.53373
5.63333,1.53403
5.65,1.53404
5.66667,1.53415
5.68333,1.5346
5.7,1.53488
5.71667,1.53509
5.73333,1.53531
5.75,1.53605
5.76667,1.53691
5.78333,1.5374
5.8,1.53779
5.81667,1.53801
5.83333,1.53856
5.85,1.53881
5.86667,1.53915
5.88333,1.54005
5.9,1.5407
5.91667,1.54129
5.93333,1.54188
5.95,1.54247
5.96667,1.54302
5.98333,1.54365
6,1.54422
6.01667,1.54466
6.03333,1.5451
6.05,1.54552
6.06667,1.54594
6.08333,1.54638
6.1,1.54685
6.11667,1.54736
6.13333,1.54786
6.15,1.54839
6.16667,1.54894
6.18333,1.54951
6.2,1.5501
6.21667,1.55071
6.23333,1.55137
6.25,1.55206
6.26667,1.5528
6.28333,1.55358
6.3,1.55443
6.31667,1.55535
6.33333,1.5563
6.35,1.5573
6.36667,1.55832
6.38333,1.55934
6.4,1.56035
6.41667,1.56139
6.43333,1.56245
6.45,1.56353
6.46667,1.56468
6.48333,1.5659
6.5,1.56711
6.51667,1.56835
6.53333,1.56963
6.55,1.57094
6.56667,1.5723
6.58333,1.57368
6.6,1.57509
6.61667,1.5765
6.63333,1.57794
6.65,1.57939
6.66667,1.58078
6.68333,1.58217
6.7,1.58364
6.71667,1.58517
6.73333,1.5868
6.75,1.58849
6.76667,1.59015
6.78333,1.59184
6.8,1.59354
6.81667,1.59519
6.83333,1.59679
6.85,1.59836
6.86667,1.60011
6.88333,1.60204
6.9,1.6039
6.91667,1.60571
6.93333,1.60748
6.95,1.60923
6.96667,1.61097
6.98333,1.61271
7,1.61446
7.01667,1.61626
7.03333,1.61777
7.05,1.61938
7.06667,1.62127
7.08333,1.62263
7.1,1.6242
7.11667,1.62617
7.13333,1.62786
7.15,1.62941
7.16667,1.63054
7.18333,1.63173
7.2,1.63319
7.21667,1.63436
7.23333,1.63505
7.25,1.63574
7.26667,1.63627
7.28333,1.63659
7.3,1.63707
7.31667,1.63692
7.33333,1.63666
7.35,1.63621
7.36667,1.63522
7.38333,1.63442
7.4,1.63357
7.41667,1.63233
7.43333,1.63049
7.45,1.62847
7.46667,1.62637
7.48333,1.62364
7.5,1.62053
7.51667,1.61765
7.53333,1.61472
7.55,1.61069
7.56667,1.60645
7.58333,1.60244
7.6,1.59786
7.61667,1.59231
7.63333,1.58622
7.65,1.58043
7.66667,1.57429
7.68333,1.56741
7.7,1.56034
7.71667,1.55277
7.73333,1.54481
7.75,1.53653
7.76667,1.52779
7.78333,1.52331
7.8,1.52253
7.81667,1.52054
7.83333,1.51766
7.85,1.51997
7.86667,1.52663
7.88333,1.53199
7.9,1.53733
7.91667,1.5423
7.93333,1.54596
7.95,1.54819
7.96667,1.54909
7.98333,1.54983
8,1.55034
8.01667,1.54983
8.03333,1.5485
8.05,1.54624
8.06667,1.54274
8.08333,1.53862
8.1,1.53384
8.11667,1.52807
8.13333,1.52169
8.15,1.51436
8.16667,1.50825
8.18333,1.50656
8.2,1.5082
8.21667,1.51009
8.23333,1.5109
8.25,1.51039
8.26667,1.50903
8.28333,1.50729
8.3,1.50719
8.31667,1.5093
8.33333,1.51127
8.35,1.51221
8.36667,1.51221
8.38333,1.51133
8.4,1.51014
8.41667,1.50823
8.43333,1.50718
8.45,1.50729
8.46667,1.50752
8.48333,1.50819
8.5,1.50861
8.51667,1.50862
8.53333,1.5087
8.55,1.50907
8.56667,1.50933
8.58333,1.50925
8.6,1.50919
8.61667,1.5094
8.63333,1.50935
8.65,1.50919
8.66667,1.50902
8.68333,1.50932
8.7,1.50985
8.71667,1.50975
8.73333,1.50962
8.75,1.50985
8.76667,1.50996
8.78333,1.51009
8.8,1.51031
