Time,Angular velocity
4.81667,0.741664
4.83333,0.763
4.85,0.75074
4.86667,0.747768
4.88333,0.747873
4.9,0.749487
4.91667,0.754905
4.93333,0.758357
4.95,0.763666
4.96667,0.779673
4.98333,0.77385
5,0.771766
5.01667,0.770916
5.03333,0.773036
5.05,0.776746
5.06667,0.772972
5.08333,0.772501
5.1,0.782536
5.11667,0.676262
5.13333,0.68005
5.15,0.681515
5.16667,0.69328
5.18333,0.695351
5.2,0.701168
5.21667,0.692982
5.23333,0.69597
5.25,0.699393
5.26667,0.694128
5.28333,0.699905
5.3,0.691814
5.31667,0.693829
5.33333,0.664311
5.35,0.672355
5.36667,0.66683
5.38333,0.670851
5.4,0.669134
5.41667,0.657706
5.43333,0.658853
5.45,0.66539
5.46667,0.652889
5.48333,0.653575
5.5,0.652994
5.51667,0.649432
5.53333,0.647625
5.55,0.648029
5.56667,0.643265
5.58333,0.64252
5.6,0.640093
5.61667,0.639617
5.63333,0.638804
5.65,0.635702
5.66667,0.639568
5.68333,0.642819
5.7,0.644581
5.71667,0.655003
5.73333,0.65429
5.75,0.654339
5.76667,0.653399
5.78333,0.637401
5.8,0.630339
5.81667,0.626586
5.83333,0.630013
5.85,0.637278
5.86667,0.639263
5.88333,0.641782
5.9,0.640923
5.91667,0.639979
5.93333,0.640173
5.95,0.638414
5.96667,0.638422
5.98333,0.638456
6,0.63128
6.01667,0.633594
6.03333,0.631218
6.05,0.636992
6.06667,0.652672
6.08333,0.647162
6.1,0.643554
6.11667,0.63965
6.13333,0.63051
6.15,0.606811
6.16667,0.583907
6.18333,0.579527
6.2,0.573622
6.21667,0.56709
6.23333,0.547736
6.25,0.554169
6.26667,0.560502
6.28333,0.565178
6.3,0.554545
6.31667,0.548775
6.33333,0.546023
6.35,0.543662
6.36667,0.547756
6.38333,0.547183
6.4,0.556034
6.41667,0.56341
6.43333,0.568777
6.45,0.515737
6.46667,0.515477
6.48333,0.515279
6.5,0.516484
6.51667,0.508631
6.53333,0.51273
6.55,0.511528
6.56667,0.511338
6.58333,0.513326
6.6,0.518468
6.61667,0.519153
6.63333,0.51483
6.65,0.516789
6.66667,0.509925
6.68333,0.501829
6.7,0.49035
6.71667,0.488745
6.73333,0.482531
6.75,0.47842
6.76667,0.459092
6.78333,0.456857
6.8,0.452699
6.81667,0.447555
6.83333,0.441369
6.85,0.440566
6.86667,0.43868
6.88333,0.423624
6.9,0.410012
6.91667,0.407904
6.93333,0.419016
6.95,0.422863
6.96667,0.426543
6.98333,0.432441
7,0.428369
7.01667,0.424543
7.03333,0.427624
7.05,0.434474
7.06667,0.422497
7.08333,0.418668
7.1,0.403385
7.11667,0.376518
7.13333,0.381534
7.15,0.379515
7.16667,0.390289
7.18333,0.394134
7.2,0.396378
7.21667,0.394416
7.23333,0.388352
7.25,0.385981
7.26667,0.381506
7.28333,0.376497
7.3,0.38591
7.31667,0.426585
7.33333,0.42699
7.35,0.421925
7.36667,0.415615
7.38333,0.416805
7.4,0.44079
7.41667,0.440551
7.43333,0.449793
7.45,0.48421
7.46667,0.492091
7.48333,0.493297
7.5,0.483712
7.51667,0.477535
7.53333,0.470566
7.55,0.489281
7.56667,0.497185
7.58333,0.485541
7.6,0.479618
7.61667,0.469587
7.63333,0.490372
7.65,0.393146
7.66667,0.402997
7.68333,0.392005
7.7,0.410068
7.71667,0.426057
7.73333,0.43127
7.75,0.414311
7.76667,0.403239
7.78333,0.400783
7.8,0.401312
7.81667,0.393036
7.83333,0.390205
7.85,0.383501
7.86667,0.412609
7.88333,0.416942
7.9,0.4026
7.91667,0.400103
7.93333,0.386805
7.95,0.353555
7.96667,0.35149
7.98333,0.345981
8,0.355803
8.01667,0.336021
8.03333,0.33059
8.05,0.320343
8.06667,0.31793
8.08333,0.311365
8.1,0.303803
8.11667,0.295582
8.13333,0.292942
8.15,0.275831
8.16667,0.278246
8.18333,0.297101
8.2,0.290989
8.21667,0.285424
8.23333,0.284406
8.25,0.268374
8.26667,0.2736
8.28333,0.26894
8.3,0.267063
8.31667,0.268376
8.33333,0.271151
8.35,0.264868
8.36667,0.257678
8.38333,0.265841
8.4,0.262579
8.41667,0.263388
8.43333,0.261045
8.45,0.302396
8.46667,0.299147
8.48333,0.293245
8.5,0.298122
8.51667,0.296406
8.53333,0.292478
8.55,0.275638
8.56667,0.312541
8.58333,0.305048
8.6,0.302423
8.61667,0.2674
8.63333,0.278901
8.65,0.275039
8.66667,0.268432
8.68333,0.280139
8.7,0.278876
8.71667,0.281193
8.73333,0.282968
8.75,0.28106
8.76667,0.264581
8.78333,0.235244
8.8,0.238016
8.81667,0.242377
8.83333,0.239102
8.85,0.244503
8.86667,0.240462
8.88333,0.267072
8.9,0.275435
8.91667,0.275511
8.93333,0.274761
8.95,0.27632
8.96667,0.281047
8.98333,0.285078
9,0.294155
9.01667,0.302068
9.03333,0.303614
9.05,0.306348
9.06667,0.311685
9.08333,0.315337
9.1,0.318817
9.11667,0.324085
9.13333,0.333384
9.15,0.33689
9.16667,0.33825
9.18333,0.343176
9.2,0.34841
9.21667,0.361011
