Time,Position (x)
4.36667,-2.02772
4.38333,-2.02014
4.4,-2.01243
4.41667,-2.00487
4.43333,-1.99745
4.45,-1.98985
4.46667,-1.98206
4.48333,-1.9741
4.5,-1.96601
4.51667,-1.95783
4.53333,-1.94961
4.55,-1.94134
4.56667,-1.93302
4.58333,-1.92471
4.6,-1.91643
4.61667,-1.90819
4.63333,-1.89997
4.65,-1.89175
4.66667,-1.88355
4.68333,-1.87549
4.7,-1.8676
4.71667,-1.85987
4.73333,-1.85229
4.75,-1.84486
4.76667,-1.83765
4.78333,-1.83064
4.8,-1.82379
4.81667,-1.81714
4.83333,-1.81066
4.85,-1.80437
4.86667,-1.79829
4.88333,-1.79242
4.9,-1.78677
4.91667,-1.78139
4.93333,-1.7763
4.95,-1.77154
4.96667,-1.76711
4.98333,-1.76301
5,-1.75928
5.01667,-1.75592
5.03333,-1.75293
5.05,-1.7503
5.06667,-1.74797
5.08333,-1.74613
5.1,-1.74481
5.11667,-1.74381
5.13333,-1.74331
5.15,-1.74339
5.16667,-1.74387
5.18333,-1.74487
5.2,-1.74648
5.21667,-1.74861
5.23333,-1.75116
5.25,-1.75438
5.26667,-1.75529
5.28333,-1.75351
5.3,-1.75208
5.31667,-1.75105
5.33333,-1.75136
5.35,-1.7531
5.36667,-1.7554
5.38333,-1.75842
5.4,-1.76209
5.41667,-1.76625
5.43333,-1.77095
5.45,-1.77643
5.46667,-1.78267
5.48333,-1.78947
5.5,-1.7957
5.51667,-1.80129
5.53333,-1.80779
5.55,-1.81529
5.56667,-1.82331
5.58333,-1.83154
5.6,-1.8401
5.61667,-1.84924
5.63333,-1.8588
5.65,-1.86869
5.66667,-1.87891
5.68333,-1.88963
5.7,-1.90073
5.71667,-1.91214
5.73333,-1.92405
5.75,-1.93181
5.76667,-1.9352
5.78333,-1.93884
5.8,-1.94278
5.81667,-1.94684
5.83333,-1.95113
5.85,-1.95568
5.86667,-1.9586
5.88333,-1.95988
5.9,-1.96123
5.91667,-1.96274
5.93333,-1.96443
5.95,-1.96659
5.96667,-1.96918
5.98333,-1.97185
6,-1.9748
6.01667,-1.97798
6.03333,-1.9795
6.05,-1.97962
6.06667,-1.98026
6.08333,-1.98127
6.1,-1.98255
6.11667,-1.9841
6.13333,-1.98587
6.15,-1.98786
6.16667,-1.98932
6.18333,-1.9903
6.2,-1.99153
6.21667,-1.99278
6.23333,-1.99399
6.25,-1.99461
6.26667,-1.99466
6.28333,-1.99471
6.3,-1.99477
6.31667,-1.99468
6.33333,-1.99446
6.35,-1.99424
6.36667,-1.99398
6.38333,-1.99367
6.4,-1.99328
6.41667,-1.99278
6.43333,-1.99222
6.45,-1.99153
6.46667,-1.99146
6.48333,-1.99193
6.5,-1.99226
6.51667,-1.99253
6.53333,-1.9927
6.55,-1.99278
6.56667,-1.9927
6.58333,-1.9916
6.6,-1.98954
6.61667,-1.98741
6.63333,-1.98517
6.65,-1.9834
6.66667,-1.98215
6.68333,-1.98056
6.7,-1.97867
6.71667,-1.97656
6.73333,-1.97416
6.75,-1.9718
6.76667,-1.96951
6.78333,-1.96702
6.8,-1.96431
6.81667,-1.96146
6.83333,-1.95796
6.85,-1.95387
6.86667,-1.94976
6.88333,-1.94556
6.9,-1.94124
6.91667,-1.93677
6.93333,-1.93224
6.95,-1.92766
6.96667,-1.92302
6.98333,-1.91833
7,-1.91357
7.01667,-1.90876
7.03333,-1.90391
7.05,-1.89906
7.06667,-1.8942
7.08333,-1.88934
7.1,-1.88446
7.11667,-1.87953
7.13333,-1.87459
7.15,-1.86969
7.16667,-1.86485
7.18333,-1.86007
7.2,-1.85534
7.21667,-1.8506
7.23333,-1.84586
7.25,-1.84113
7.26667,-1.83643
7.28333,-1.83177
7.3,-1.82717
7.31667,-1.82265
7.33333,-1.81821
7.35,-1.81384
7.36667,-1.80954
7.38333,-1.8053
7.4,-1.80111
7.41667,-1.79704
7.43333,-1.79305
7.45,-1.78909
7.46667,-1.78526
7.48333,-1.7816
7.5,-1.77802
7.51667,-1.77452
7.53333,-1.7712
7.55,-1.76804
7.56667,-1.76496
7.58333,-1.76198
7.6,-1.75912
7.61667,-1.75636
7.63333,-1.75372
7.65,-1.7512
7.66667,-1.7488
7.68333,-1.74648
7.7,-1.74428
7.71667,-1.74226
7.73333,-1.74041
7.75,-1.73871
7.76667,-1.73715
7.78333,-1.73578
7.8,-1.73461
7.81667,-1.73366
7.83333,-1.73291
7.85,-1.73233
7.86667,-1.7319
7.88333,-1.73172
7.9,-1.73175
7.91667,-1.73193
7.93333,-1.73236
7.95,-1.73305
7.96667,-1.73395
7.98333,-1.73508
8,-1.7365
8.01667,-1.73816
8.03333,-1.73716
8.05,-1.73352
8.06667,-1.73008
8.08333,-1.7275
8.1,-1.7259
8.11667,-1.72476
8.13333,-1.72398
8.15,-1.72361
8.16667,-1.72379
8.18333,-1.72445
8.2,-1.72558
8.21667,-1.7271
8.23333,-1.72913
8.25,-1.73167
8.26667,-1.73467
8.28333,-1.73824
8.3,-1.74122
8.31667,-1.7437
8.33333,-1.74684
8.35,-1.75063
8.36667,-1.75502
8.38333,-1.75998
8.4,-1.76505
8.41667,-1.77018
8.43333,-1.77602
8.45,-1.78231
8.46667,-1.78888
8.48333,-1.7959
8.5,-1.80323
8.51667,-1.81089
8.53333,-1.81906
8.55,-1.82778
8.56667,-1.83688
8.58333,-1.84628
8.6,-1.85607
8.61667,-1.86639
8.63333,-1.87707
8.65,-1.88799
8.66667,-1.89933
8.68333,-1.91118
8.7,-1.9233
8.71667,-1.93573
8.73333,-1.94859
8.75,-1.96184
8.76667,-1.97535
8.78333,-1.98381
8.8,-1.98717
8.81667,-1.99067
8.83333,-1.99443
8.85,-1.99463
8.86667,-1.99115
8.88333,-1.98776
8.9,-1.98451
8.91667,-1.98344
8.93333,-1.98447
8.95,-1.98562
8.96667,-1.9869
8.98333,-1.98825
9,-1.98994
9.01667,-1.99197
9.03333,-1.99405
9.05,-1.99636
9.06667,-1.99894
9.08333,-2.00163
9.1,-2.0044
9.11667,-2.00525
9.13333,-2.00438
9.15,-2.00396
9.16667,-2.00391
9.18333,-2.0041
9.2,-2.00468
9.21667,-2.00572
9.23333,-2.00701
9.25,-2.00845
9.26667,-2.01006
9.28333,-2.01079
9.3,-2.01058
9.31667,-2.01078
9.33333,-2.01124
9.35,-2.01156
9.36667,-2.0118
9.38333,-2.01187
9.4,-2.01175
9.41667,-2.01153
9.43333,-2.01115
9.45,-2.01062
9.46667,-2.01002
9.48333,-2.00939
9.5,-2.00871
9.51667,-2.00793
9.53333,-2.00704
9.55,-2.00602
9.56667,-2.00495
9.58333,-2.00378
9.6,-2.00252
9.61667,-2.00109
9.63333,-1.99945
9.65,-1.99772
9.66667,-1.99592
9.68333,-1.99419
9.7,-1.99249
9.71667,-1.99076
9.73333,-1.98895
9.75,-1.98707
9.76667,-1.9851
9.78333,-1.98304
9.8,-1.98084
9.81667,-1.97851
9.83333,-1.97615
9.85,-1.97384
9.86667,-1.97158
9.88333,-1.96922
9.9,-1.96678
9.91667,-1.96429
9.93333,-1.96173
9.95,-1.95907
9.96667,-1.95629
9.98333,-1.95344
10,-1.95056
10.0167,-1.94761
10.0333,-1.9446
10.05,-1.94153
10.0667,-1.93847
10.0833,-1.93543
10.1,-1.93243
10.1167,-1.92952
10.1333,-1.92669
10.15,-1.92388
10.1667,-1.92124
10.1833,-1.91889
10.2,-1.91676
10.2167,-1.91475
10.2333,-1.91278
10.25,-1.9109
10.2667,-1.90859
10.2833,-1.90577
10.3,-1.90294
10.3167,-1.90011
10.3333,-1.89727
10.35,-1.89413
10.3667,-1.89071
10.3833,-1.8873
10.4,-1.8838
10.4167,-1.88022
10.4333,-1.87659
10.45,-1.87287
10.4667,-1.86904
10.4833,-1.8651
10.5,-1.86102
10.5167,-1.85681
10.5333,-1.85253
10.55,-1.84822
10.5667,-1.84459
10.5833,-1.84169
10.6,-1.83887
10.6167,-1.83632
10.6333,-1.8339
10.65,-1.8314
10.6667,-1.82881
10.6833,-1.82612
10.7,-1.82344
10.7167,-1.82075
10.7333,-1.81832
10.75,-1.81615
10.7667,-1.81397
10.7833,-1.81188
10.8,-1.80986
10.8167,-1.80786
10.8333,-1.80593
10.85,-1.80403
10.8667,-1.80221
10.8833,-1.80054
10.9,-1.79903
10.9167,-1.79757
10.9333,-1.79615
10.95,-1.79483
10.9667,-1.79362
10.9833,-1.79245
11,-1.79127
11.0167,-1.79009
11.0333,-1.78897
11.05,-1.78799
11.0667,-1.78716
11.0833,-1.78647
11.1,-1.78589
11.1167,-1.78534
11.1333,-1.78478
11.15,-1.78435
11.1667,-1.78399
11.1833,-1.78359
11.2,-1.78323
11.2167,-1.7829
11.2333,-1.78262
11.25,-1.7824
11.2667,-1.77925
11.2833,-1.77312
11.3,-1.76702
11.3167,-1.76095
11.3333,-1.75581
11.35,-1.75161
11.3667,-1.74752
11.3833,-1.74365
11.4,-1.74002
11.4167,-1.73667
11.4333,-1.73357
11.45,-1.73075
11.4667,-1.72819
11.4833,-1.72602
11.5,-1.72427
11.5167,-1.72287
11.5333,-1.72185
11.55,-1.72115
11.5667,-1.7209
11.5833,-1.72113
11.6,-1.7206
11.6167,-1.71961
11.6333,-1.71929
11.65,-1.71943
11.6667,-1.72005
11.6833,-1.7211
11.7,-1.72265
11.7167,-1.72442
11.7333,-1.72638
11.75,-1.72889
11.7667,-1.73173
11.7833,-1.7348
11.8,-1.73835
11.8167,-1.7424
11.8333,-1.74681
11.85,-1.75162
11.8667,-1.7567
11.8833,-1.76227
11.9,-1.76838
11.9167,-1.77485
11.9333,-1.78173
11.95,-1.78897
11.9667,-1.79666
11.9833,-1.80486
12,-1.81352
12.0167,-1.82256
12.0333,-1.83203
12.05,-1.84203
12.0667,-1.85251
12.0833,-1.86329
12.1,-1.87437
12.1167,-1.88602
12.1333,-1.89823
12.15,-1.91067
12.1667,-1.92353
12.1833,-1.93692
12.2,-1.95055
12.2167,-1.96449
12.2333,-1.97325
12.25,-1.97665
12.2667,-1.98028
12.2833,-1.98421
12.3,-1.98661
12.3167,-1.98748
12.3333,-1.98847
12.35,-1.99136
12.3667,-1.99613
12.3833,-2.00098
12.4,-2.00596
12.4167,-2.01115
12.4333,-2.0165
12.45,-2.02202
12.4667,-2.02777
12.4833,-2.03365
12.5,-2.0382
12.5167,-2.04147
12.5333,-2.04488
12.55,-2.04845
12.5667,-2.05211
12.5833,-2.05382
12.6,-2.05376
12.6167,-2.05417
12.6333,-2.0546
12.65,-2.05485
12.6667,-2.05531
12.6833,-2.056
12.7,-2.05655
12.7167,-2.05698
12.7333,-2.05746
12.75,-2.05686
12.7667,-2.05508
12.7833,-2.05329
12.8,-2.05134
12.8167,-2.04905
12.8333,-2.04652
12.85,-2.04356
12.8667,-2.04026
12.8833,-2.03657
12.9,-2.03251
12.9167,-2.02817
12.9333,-2.02353
12.95,-2.01855
12.9667,-2.0132
12.9833,-2.00751
13,-2.00149
13.0167,-1.99655
13.0333,-1.99287
13.05,-1.98902
13.0667,-1.985
13.0833,-1.98092
13.1,-1.97676
13.1167,-1.97253
13.1333,-1.96823
13.15,-1.96383
13.1667,-1.95935
13.1833,-1.95613
13.2,-1.95418
13.2167,-1.95214
13.2333,-1.95001
13.25,-1.9478
13.2667,-1.94535
13.2833,-1.94264
13.3,-1.93988
13.3167,-1.93719
13.3333,-1.93459
13.35,-1.93212
13.3667,-1.92974
13.3833,-1.92742
13.4,-1.92506
13.4167,-1.92275
13.4333,-1.92053
13.45,-1.91777
13.4667,-1.9145
13.4833,-1.91121
13.5,-1.90789
13.5167,-1.90449
13.5333,-1.90085
13.55,-1.89699
13.5667,-1.89312
13.5833,-1.88908
13.6,-1.88487
13.6167,-1.88057
13.6333,-1.87621
13.65,-1.87176
13.6667,-1.86721
13.6833,-1.86264
13.7,-1.85803
13.7167,-1.85341
13.7333,-1.8488
13.75,-1.8442
13.7667,-1.83959
13.7833,-1.83492
13.8,-1.83019
13.8167,-1.82546
13.8333,-1.82087
13.85,-1.81643
13.8667,-1.81204
13.8833,-1.80773
13.9,-1.80351
13.9167,-1.79937
13.9333,-1.79528
13.95,-1.79124
13.9667,-1.78727
13.9833,-1.78385
14,-1.78096
14.0167,-1.77811
14.0333,-1.77532
14.05,-1.77262
14.0667,-1.77
14.0833,-1.76751
14.1,-1.76517
14.1167,-1.76296
14.1333,-1.76089
14.15,-1.759
14.1667,-1.75731
14.1833,-1.75583
14.2,-1.75458
14.2167,-1.7535
14.2333,-1.75265
14.25,-1.75206
14.2667,-1.75017
14.2833,-1.74698
14.3,-1.74428
14.3167,-1.74214
14.3333,-1.74025
14.35,-1.73868
14.3667,-1.73746
14.3833,-1.73654
14.4,-1.73593
14.4167,-1.73558
14.4333,-1.73512
14.45,-1.7347
14.4667,-1.73465
14.4833,-1.73496
14.5,-1.73559
14.5167,-1.73647
14.5333,-1.73769
14.55,-1.73917
14.5667,-1.74105
14.5833,-1.74332
14.6,-1.74593
14.6167,-1.74897
14.6333,-1.75233
14.65,-1.75606
14.6667,-1.76006
14.6833,-1.76442
14.7,-1.76929
14.7167,-1.77459
14.7333,-1.78024
14.75,-1.78627
14.7667,-1.79258
