time,actual_temp,actual_pressure,actual_humidity,actual_rain,pred24_temp,pred24_pressure,pred24_humidity,pred24_rain
2025-01-05 00:00:00,3.5,1022.2,96.0,0.0,4.2560396,1025.6315,84.14501,0.09608907
2025-01-05 01:00:00,3.9,1021.5,96.0,0.0,4.143556,1026.0647,83.46292,0.08636761
2025-01-05 02:00:00,4.1,1021.0,97.0,0.1,4.052044,1025.9108,83.64536,0.08643276
2025-01-05 03:00:00,4.2,1020.0,98.0,0.0,4.190294,1025.4913,83.394066,0.08715111
2025-01-05 04:00:00,4.3,1019.5,97.0,0.0,4.115262,1025.1626,83.907715,0.09146817
2025-01-05 05:00:00,4.3,1018.7,98.0,0.1,4.2063255,1024.8481,84.038345,0.09382321
2025-01-05 06:00:00,4.2,1018.1,100.0,0.1,4.2926345,1024.703,84.69731,0.10119163
2025-01-05 07:00:00,4.1,1017.9,100.0,0.2,4.4306564,1024.6288,84.86149,0.10512148
2025-01-05 08:00:00,3.9,1017.5,100.0,0.4,4.415119,1024.4396,85.27278,0.11003675
2025-01-05 09:00:00,3.8,1016.9,100.0,0.5,4.5704317,1024.212,85.46691,0.114720315
2025-01-05 10:00:00,4.0,1016.4,100.0,0.2,4.8788915,1025.03,84.186424,0.105224065
2025-01-05 11:00:00,4.4,1016.1,100.0,0.5,5.1527195,1025.8357,82.86241,0.09742976
2025-01-05 12:00:00,5.2,1015.3,100.0,0.2,5.1687036,1025.7219,82.92174,0.09803584
2025-01-05 13:00:00,6.7,1013.3,99.0,0.1,5.3720045,1025.8481,81.99253,0.093577445
2025-01-05 14:00:00,5.9,1012.8,100.0,0.5,5.6393476,1025.9104,80.67088,0.090065636
2025-01-05 15:00:00,6.8,1011.1,100.0,0.5,5.963705,1025.7372,78.68312,0.08509792
2025-01-05 16:00:00,6.8,1010.4,100.0,1.6,6.064209,1024.8093,78.93062,0.09343263
2025-01-05 17:00:00,6.9,1009.8,99.0,2.0,5.925074,1023.47,82.3001,0.12369093
2025-01-05 18:00:00,6.8,1009.3,99.0,2.3,5.9009237,1022.04663,85.02525,0.15559964
2025-01-05 19:00:00,6.6,1009.1,99.0,1.5,5.6262283,1022.4949,85.77727,0.15068163
2025-01-05 20:00:00,6.4,1008.8,99.0,1.2,5.4619293,1023.0627,86.17298,0.14640887
2025-01-05 21:00:00,6.3,1008.6,100.0,0.7,5.279174,1023.23584,86.8846,0.14841902
2025-01-05 22:00:00,6.2,1008.4,100.0,0.5,5.0169835,1023.2827,87.496284,0.14763078
2025-01-05 23:00:00,6.3,1007.9,100.0,0.3,4.7957635,1023.05853,87.94939,0.14648846
2025-01-06 00:00:00,6.5,1007.6,100.0,0.3,4.6179876,1022.6364,88.48719,0.1492375
2025-01-06 01:00:00,6.7,1007.1,100.0,0.5,4.8362455,1022.2677,88.036514,0.15009888
2025-01-06 02:00:00,7.1,1006.8,100.0,0.5,4.9670362,1021.4547,88.509834,0.16774057
2025-01-06 03:00:00,7.2,1006.4,99.0,0.1,5.4910583,1019.8745,88.62044,0.19725364
2025-01-06 04:00:00,6.9,1006.2,99.0,0.0,5.9347687,1018.34796,88.380936,0.22055581
