time,actual_temp,actual_pressure,actual_humidity,pred24_temp,pred24_pressure,pred24_humidity,pred48_temp,pred48_pressure,pred48_humidity,pred72_temp,pred72_pressure,pred72_humidity
2025-01-11 00:00:00,8.7,1026.7,90.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 01:00:00,9.9,1026.4,85.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 02:00:00,8.6,1026.1,87.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 03:00:00,9.0,1025.9,87.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 04:00:00,9.9,1025.5,85.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 05:00:00,9.9,1025.1,89.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 06:00:00,10.6,1024.9,87.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 07:00:00,10.6,1024.5,87.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 08:00:00,10.8,1024.8,89.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 09:00:00,10.9,1024.8,90.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 10:00:00,11.5,1025.6,88.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 11:00:00,11.5,1026.0,88.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 12:00:00,11.8,1026.4,84.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 13:00:00,13.1,1026.1,67.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 14:00:00,14.3,1025.3,65.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 15:00:00,14.6,1025.4,60.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 16:00:00,14.5,1025.7,60.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 17:00:00,13.3,1026.2,63.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 18:00:00,12.1,1026.6,69.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 19:00:00,11.2,1026.8,74.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 20:00:00,9.2,1027.6,85.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 21:00:00,8.8,1028.3,87.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 22:00:00,7.6,1029.1,90.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-11 23:00:00,7.5,1029.4,91.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 00:00:00,6.5,1029.3,92.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 01:00:00,5.8,1029.5,87.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 02:00:00,6.1,1028.9,78.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 03:00:00,5.5,1029.5,72.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 04:00:00,5.3,1029.5,55.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 05:00:00,5.3,1029.3,38.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 06:00:00,4.8,1029.6,47.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 07:00:00,4.1,1030.2,61.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 08:00:00,3.7,1030.9,71.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 09:00:00,3.5,1030.8,72.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 10:00:00,5.7,1031.2,63.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
2025-01-12 11:00:00,8.1,1031.5,58.0,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777,14.472284,1019.4457,60.794777
