time,actual_temp,actual_pressure,actual_humidity,actual_rain,pred24_temp,pred24_pressure,pred24_humidity,pred24_rain,pred48_temp,pred48_pressure,pred48_humidity,pred48_rain,pred72_temp,pred72_pressure,pred72_humidity,pred72_rain
2025-01-30 04:00:00,2.7,1015.3,94.0,0.2,12.966097,1021.0874,68.56877,0.061054762,10.302551,1016.07275,78.470795,0.25593704,16.646866,1014.3322,68.45962,0.10037165
2025-01-30 05:00:00,3.4,1015.8,90.0,0.0,11.128561,1020.62976,72.701485,0.07525223,9.812691,1016.5001,79.6909,0.25509664,16.364887,1014.2651,69.51086,0.10455966
2025-01-30 06:00:00,3.3,1016.5,87.0,0.0,9.467243,1020.2237,75.548676,0.08764593,9.618294,1016.7529,80.350075,0.25354928,16.186123,1014.05005,71.85223,0.11735732
2025-01-30 07:00:00,3.0,1017.3,85.0,0.0,8.459701,1019.8153,77.11836,0.09559546,9.557433,1016.76654,80.086784,0.25193134,15.53265,1014.5281,75.7548,0.13337697
2025-01-30 08:00:00,3.3,1017.8,82.0,0.0,8.0436325,1019.3579,77.459984,0.100877516,9.77771,1016.64935,78.01078,0.23993292,15.325283,1014.6494,77.685265,0.14242923
2025-01-30 09:00:00,3.3,1019.1,80.0,0.0,7.4425926,1018.91437,78.47087,0.11282746,9.934509,1016.5023,75.98782,0.23194692,15.25699,1014.67694,78.91619,0.15085256
2025-01-30 10:00:00,3.9,1019.3,75.0,0.0,8.019802,1018.6285,75.79078,0.10792396,9.952754,1016.4699,74.54463,0.22429053,15.636847,1014.76215,77.83403,0.14580294
2025-01-30 11:00:00,4.9,1019.3,69.0,0.0,9.134591,1018.0289,71.72836,0.10471612,11.51408,1016.9157,69.01492,0.18443736,14.773615,1015.743,80.84079,0.15745154
2025-01-30 12:00:00,5.8,1019.5,57.0,0.0,9.8227,1017.0058,69.717255,0.115265645,14.624966,1017.0457,59.931305,0.14359559,15.940811,1015.3204,76.406166,0.14098707
2025-01-30 13:00:00,6.5,1020.1,56.0,0.0,10.818814,1015.8504,66.72178,0.12167746,18.003408,1016.8959,50.4969,0.11160825,18.116434,1015.12036,68.84966,0.11627783
2025-01-30 14:00:00,6.9,1020.8,55.0,0.0,11.748982,1014.6952,64.03684,0.1276221,19.448774,1016.52997,45.239532,0.10022673,18.945135,1014.5307,65.49322,0.10859204
2025-01-30 15:00:00,7.5,1020.9,47.0,0.0,12.999412,1013.7205,60.691353,0.12659448,20.449165,1016.15515,41.63586,0.08759972,19.445427,1013.7012,63.54258,0.10658271
