Time,Position (y)
4.81667,1.7353
4.83333,1.73927
4.85,1.74129
4.86667,1.74142
4.88333,1.73977
4.9,1.74077
4.91667,1.74504
4.93333,1.74841
4.95,1.75355
4.96667,1.76029
4.98333,1.76584
5,1.77023
5.01667,1.77412
5.03333,1.77791
5.05,1.78085
5.06667,1.78309
5.08333,1.78491
5.1,1.78606
5.11667,1.7865
5.13333,1.78634
5.15,1.7856
5.16667,1.78407
5.18333,1.78181
5.2,1.77896
5.21667,1.77543
5.23333,1.77124
5.25,1.76645
5.26667,1.76104
5.28333,1.75499
5.3,1.74825
5.31667,1.7408
5.33333,1.73242
5.35,1.72342
5.36667,1.71371
5.38333,1.70327
5.4,1.69244
5.41667,1.68119
5.43333,1.67553
5.45,1.67479
5.46667,1.67256
5.48333,1.67287
5.5,1.67547
5.51667,1.68275
5.53333,1.69491
5.55,1.70539
5.56667,1.71412
5.58333,1.721
5.6,1.72612
5.61667,1.72968
5.63333,1.73479
5.65,1.74139
5.66667,1.74624
5.68333,1.74944
5.7,1.75363
5.71667,1.75902
5.73333,1.76322
5.75,1.76669
5.76667,1.76971
5.78333,1.77192
5.8,1.77342
5.81667,1.77413
5.83333,1.77409
5.85,1.77313
5.86667,1.77151
5.88333,1.76952
5.9,1.76697
5.91667,1.76374
5.93333,1.75979
5.95,1.75534
5.96667,1.75035
5.98333,1.74481
6,1.73877
6.01667,1.73226
6.03333,1.72502
6.05,1.71734
6.06667,1.70922
6.08333,1.70052
6.1,1.69103
6.11667,1.68084
6.13333,1.67008
6.15,1.65863
6.16667,1.65255
6.18333,1.65186
6.2,1.65664
6.21667,1.66618
6.23333,1.67425
6.25,1.6808
6.26667,1.68582
6.28333,1.68927
6.3,1.6909
6.31667,1.69095
6.33333,1.69505
6.35,1.70373
6.36667,1.7116
6.38333,1.71783
6.4,1.72251
6.41667,1.72812
6.43333,1.73455
6.45,1.7394
6.46667,1.74264
6.48333,1.74443
6.5,1.74717
6.51667,1.75088
6.53333,1.75383
6.55,1.75614
6.56667,1.75757
6.58333,1.75816
6.6,1.75794
6.61667,1.75705
6.63333,1.75535
6.65,1.75297
6.66667,1.74982
6.68333,1.74597
6.7,1.74173
6.71667,1.73696
6.73333,1.73167
6.75,1.72572
6.76667,1.71915
6.78333,1.71214
6.8,1.70464
6.81667,1.6967
6.83333,1.68827
6.85,1.67945
6.86667,1.66999
6.88333,1.66013
6.9,1.64998
6.91667,1.63878
6.93333,1.6344
6.95,1.63704
6.96667,1.63894
6.98333,1.6402
7,1.64528
7.01667,1.65414
7.03333,1.66194
7.05,1.66832
7.06667,1.67322
7.08333,1.67663
7.1,1.67852
7.11667,1.67991
7.13333,1.6806
7.15,1.67976
7.16667,1.67821
7.18333,1.6759
7.2,1.67235
7.21667,1.67346
7.23333,1.68053
7.25,1.68753
7.26667,1.69314
7.28333,1.69773
7.3,1.70106
7.31667,1.70325
7.33333,1.70442
7.35,1.70577
7.36667,1.708
7.38333,1.70986
7.4,1.71096
7.41667,1.71121
7.43333,1.71062
7.45,1.70929
7.46667,1.70731
7.48333,1.7046
7.5,1.7012
7.51667,1.69724
7.53333,1.69262
7.55,1.68778
7.56667,1.6829
7.58333,1.67736
7.6,1.67103
7.61667,1.66411
7.63333,1.65668
7.65,1.64866
7.66667,1.63987
7.68333,1.63032
7.7,1.62023
7.71667,1.60963
7.73333,1.60648
7.75,1.6108
7.76667,1.6146
7.78333,1.61789
7.8,1.62068
7.81667,1.62259
7.83333,1.62408
7.85,1.62543
7.86667,1.6262
7.88333,1.63016
7.9,1.6369
7.91667,1.64233
7.93333,1.64615
7.95,1.6487
7.96667,1.65026
7.98333,1.65043
8,1.64916
8.01667,1.64643
8.03333,1.64521
8.05,1.64554
8.06667,1.6447
8.08333,1.64467
8.1,1.64513
8.11667,1.64416
8.13333,1.64703
