time,temp_real,hum_real,rain_real,pres_real,wind_real,temp_pred_24,hum_pred_24,rain_pred_24,pres_pred_24,wind_pred_24,temp_pred_48,hum_pred_48,rain_pred_48,pres_pred_48,wind_pred_48,temp_pred_72,hum_pred_72,rain_pred_72,pres_pred_72,wind_pred_72
2025-01-11 00:00:00,8.7,90.0,0.0,1026.7,7.1,-0.7673494,0.8400393,-0.05450938,1.0755514,-0.49774072,-1.0349919,1.16421,0.1412564,0.15650813,-0.100929424,-1.0920435,0.93332565,0.0115596885,0.7094616,-0.27373657
2025-01-11 01:00:00,9.9,85.0,0.0,1026.4,8.5,-0.8269085,0.9053456,-0.050078757,1.0815271,-0.5014858,-1.053572,1.1818457,0.14406508,0.1663932,-0.09185007,-1.1185172,0.9887596,0.025850957,0.6604615,-0.23593327
2025-01-11 02:00:00,8.6,87.0,0.0,1026.1,7.2,-0.8541909,0.9615727,-0.041988842,1.0968671,-0.49477145,-1.0422364,1.196439,0.1615419,0.16637884,-0.10635826,-1.1090139,0.99603295,0.035795078,0.6752898,-0.22524732
2025-01-11 03:00:00,9.0,87.0,0.0,1025.9,6.6,-0.8751494,0.9829025,-0.04362136,1.094037,-0.4207627,-1.0870892,1.2201698,0.15469389,0.16256389,-0.06693429,-1.1168741,1.0581918,0.048886552,0.6101989,-0.19590917
2025-01-11 04:00:00,9.9,85.0,0.0,1025.5,5.8,-0.9318563,1.0507983,-0.03781171,1.1005574,-0.37476707,-1.0615206,1.2229822,0.15896693,0.19528064,-0.10346511,-1.1206928,1.0894471,0.049943186,0.59401345,-0.19222175
2025-01-11 05:00:00,9.9,89.0,0.1,1025.1,6.8,-0.9856524,1.1074842,-0.038329773,1.0774105,-0.3347538,-1.0809925,1.2333696,0.15618469,0.17282286,-0.091818854,-1.1334866,1.1385646,0.04623158,0.5623358,-0.23113541
2025-01-11 06:00:00,10.6,87.0,0.1,1024.9,14.2,-1.0305094,1.1467819,-0.04378149,1.0736575,-0.34021264,-1.0875357,1.2404668,0.16966638,0.12735853,-0.09024295,-1.1316478,1.1579415,0.05163993,0.49808663,-0.2277986
2025-01-11 07:00:00,10.6,87.0,0.0,1024.5,14.1,-1.024036,1.0945407,-0.05746296,1.1166048,-0.35425252,-1.0709062,1.1858062,0.14671616,0.16449602,-0.109763876,-1.1057156,1.1578025,0.05273691,0.43511796,-0.23514116
2025-01-11 08:00:00,10.8,89.0,0.0,1024.8,13.1,-0.9985365,1.0828515,-0.044918083,1.1039438,-0.378386,-1.0392809,1.1465474,0.15478015,0.15550101,-0.10588458,-1.0845008,1.139839,0.058739796,0.3549464,-0.17304674
2025-01-11 09:00:00,10.9,90.0,0.2,1024.8,17.0,-0.9501123,1.0476156,-0.03583224,1.1155467,-0.42737457,-0.9793118,1.0552816,0.14724624,0.21855986,-0.09579307,-1.0350063,1.0915306,0.077165745,0.31993237,-0.12803793
