Time,Angular velocity
5.35,-0.122152
5.36667,-0.116242
5.38333,-0.114996
5.4,-0.140203
5.41667,-0.16127
5.43333,-0.163006
5.45,-0.159351
5.46667,-0.156265
5.48333,-0.146482
5.5,-0.138333
5.51667,-0.136259
5.53333,-0.152658
5.55,-0.159487
5.56667,-0.17402
5.58333,-0.172474
5.6,-0.168132
5.61667,-0.183886
5.63333,-0.185609
5.65,-0.181181
5.66667,-0.190407
5.68333,-0.204799
5.7,-0.205603
5.71667,-0.202858
5.73333,-0.203871
5.75,-0.214148
5.76667,-0.209189
5.78333,-0.214794
5.8,-0.21446
5.81667,-0.21166
5.83333,-0.208899
5.85,-0.207086
5.86667,-0.20736
5.88333,-0.22288
5.9,-0.222896
5.91667,-0.218149
5.93333,-0.222909
5.95,-0.23421
5.96667,-0.233339
5.98333,-0.23114
6,-0.231499
6.01667,-0.209859
6.03333,-0.236668
6.05,-0.244811
6.06667,-0.250772
6.08333,-0.255074
6.1,-0.259982
6.11667,-0.258324
6.13333,-0.260556
6.15,-0.261274
6.16667,-0.267933
6.18333,-0.269121
6.2,-0.266931
6.21667,-0.281009
6.23333,-0.287075
6.25,-0.294924
6.26667,-0.31077
6.28333,-0.31768
6.3,-0.325431
6.31667,-0.344018
6.33333,-0.34862
6.35,-0.356596
6.36667,-0.354846
6.38333,-0.338388
6.4,-0.335173
6.41667,-0.342814
6.43333,-0.342437
6.45,-0.348435
6.46667,-0.381075
6.48333,-0.378349
6.5,-0.371887
6.51667,-0.387085
6.53333,-0.389868
6.55,-0.406548
6.56667,-0.405396
6.58333,-0.417501
6.6,-0.4221
6.61667,-0.413121
6.63333,-0.433944
6.65,-0.420445
6.66667,-0.401008
6.68333,-0.416952
6.7,-0.450852
6.71667,-0.461439
6.73333,-0.491998
6.75,-0.487537
6.76667,-0.484928
6.78333,-0.512967
6.8,-0.503104
6.81667,-0.493798
6.83333,-0.495197
6.85,-0.493662
6.86667,-0.456468
6.88333,-0.455602
6.9,-0.449921
6.91667,-0.445306
6.93333,-0.438555
6.95,-0.460075
6.96667,-0.461144
6.98333,-0.484288
7,-0.507283
7.01667,-0.491917
7.03333,-0.514804
7.05,-0.502174
7.06667,-0.495914
7.08333,-0.552014
7.1,-0.532301
7.11667,-0.534468
7.13333,-0.527804
7.15,-0.534634
7.16667,-0.534394
7.18333,-0.55268
7.2,-0.549076
7.21667,-0.549595
7.23333,-0.567903
7.25,-0.545241
7.26667,-0.532201
7.28333,-0.528965
7.3,-0.52489
7.31667,-0.521803
7.33333,-0.516241
7.35,-0.51467
7.36667,-0.503161
7.38333,-0.50888
7.4,-0.506475
7.41667,-0.496719
7.43333,-0.504216
7.45,-0.490095
7.46667,-0.505808
7.48333,-0.503892
7.5,-0.516849
7.51667,-0.514208
7.53333,-0.508728
7.55,-0.501442
7.56667,-0.495582
7.58333,-0.489488
7.6,-0.466675
7.61667,-0.460182
7.63333,-0.461827
7.65,-0.448465
7.66667,-0.43668
7.68333,-0.43069
7.7,-0.405927
7.71667,-0.387782
7.73333,-0.391915
7.75,-0.386542
7.76667,-0.377505
7.78333,-0.41364
7.8,-0.411267
7.81667,-0.40641
7.83333,-0.394756
7.85,-0.395553
7.86667,-0.38654
7.88333,-0.378641
7.9,-0.414993
7.91667,-0.409955
7.93333,-0.404822
7.95,-0.397631
7.96667,-0.39139
7.98333,-0.412225
8,-0.404361
