Time,Position (y)
4.81667,1.51361
4.83333,1.51361
4.85,1.51326
4.86667,1.51381
4.88333,1.51526
4.9,1.51599
4.91667,1.51604
4.93333,1.51542
4.95,1.51526
4.96667,1.51555
4.98333,1.51544
5,1.5152
5.01667,1.51543
5.03333,1.516
5.05,1.51632
5.06667,1.51651
5.08333,1.51658
5.1,1.51653
5.11667,1.51677
5.13333,1.51703
5.15,1.51713
5.16667,1.51731
5.18333,1.51756
5.2,1.51784
5.21667,1.5181
5.23333,1.51844
5.25,1.51878
5.26667,1.51916
5.28333,1.51956
5.3,1.51999
5.31667,1.52045
5.33333,1.52095
5.35,1.52147
5.36667,1.52204
5.38333,1.52265
5.4,1.52331
5.41667,1.524
5.43333,1.52473
5.45,1.52551
5.46667,1.52632
5.48333,1.52717
5.5,1.52806
5.51667,1.52899
5.53333,1.52997
5.55,1.531
5.56667,1.53208
5.58333,1.5332
5.6,1.53437
5.61667,1.53561
5.63333,1.53689
5.65,1.53822
5.66667,1.53959
5.68333,1.54099
5.7,1.54242
5.71667,1.54388
5.73333,1.54535
5.75,1.54684
5.76667,1.54834
5.78333,1.54985
5.8,1.55137
5.81667,1.55291
5.83333,1.55447
5.85,1.55604
5.86667,1.55761
5.88333,1.55918
5.9,1.56077
5.91667,1.56235
5.93333,1.56393
5.95,1.56549
5.96667,1.56703
5.98333,1.56853
6,1.57006
6.01667,1.57128
6.03333,1.57263
6.05,1.57431
6.06667,1.57581
6.08333,1.5772
6.1,1.57854
6.11667,1.57992
6.13333,1.58131
6.15,1.58262
6.16667,1.58384
6.18333,1.5851
6.2,1.58612
6.21667,1.58728
6.23333,1.58873
6.25,1.59005
6.26667,1.59139
6.28333,1.59272
6.3,1.59401
6.31667,1.59544
6.33333,1.59676
6.35,1.59863
6.36667,1.60122
6.38333,1.60364
6.4,1.60597
6.41667,1.60825
6.43333,1.61049
6.45,1.61269
6.46667,1.61484
6.48333,1.61693
6.5,1.61899
6.51667,1.62067
6.53333,1.62246
6.55,1.62452
6.56667,1.62601
6.58333,1.62756
6.6,1.6294
6.61667,1.63092
6.63333,1.63226
6.65,1.63314
6.66667,1.634
6.68333,1.63538
6.7,1.63642
6.71667,1.63736
6.73333,1.63842
6.75,1.63907
6.76667,1.63916
6.78333,1.63915
6.8,1.63937
6.81667,1.63905
6.83333,1.63852
6.85,1.63807
6.86667,1.63698
6.88333,1.6357
6.9,1.63453
6.91667,1.63267
6.93333,1.6306
6.95,1.62813
6.96667,1.62543
6.98333,1.62261
7,1.61945
7.01667,1.61628
7.03333,1.61265
7.05,1.60835
7.06667,1.60346
7.08333,1.59869
7.1,1.59385
7.11667,1.58823
7.13333,1.58229
7.15,1.57607
7.16667,1.56955
7.18333,1.56256
7.2,1.55498
7.21667,1.5471
7.23333,1.53919
7.25,1.53124
7.26667,1.52246
7.28333,1.51779
7.3,1.51717
7.31667,1.51549
7.33333,1.51864
7.35,1.5261
7.36667,1.53228
7.38333,1.5374
7.4,1.54207
7.41667,1.54639
7.43333,1.54929
7.45,1.55087
7.46667,1.55112
7.48333,1.5507
7.5,1.55014
7.51667,1.5488
7.53333,1.54654
7.55,1.54349
7.56667,1.53957
7.58333,1.53482
7.6,1.52919
7.61667,1.52442
7.63333,1.52039
7.65,1.51507
7.66667,1.51276
7.68333,1.51368
7.7,1.51336
7.71667,1.51226
7.73333,1.51062
7.75,1.50803
7.76667,1.50783
7.78333,1.50993
7.8,1.51103
7.81667,1.5113
7.83333,1.51252
7.85,1.51458
7.86667,1.51555
7.88333,1.51604
7.9,1.51612
7.91667,1.51545
7.93333,1.51419
7.95,1.51363
7.96667,1.51379
7.98333,1.51334
8,1.51256
8.01667,1.5116
8.03333,1.51044
8.05,1.51031
8.06667,1.51097
8.08333,1.51092
8.1,1.51018
8.11667,1.51001
8.13333,1.5105
8.15,1.51061
8.16667,1.51034
8.18333,1.51025
8.2,1.51048
8.21667,1.51052
8.23333,1.51017
8.25,1.50994
8.26667,1.51007
8.28333,1.51006
8.3,1.51001
8.31667,1.50993
8.33333,1.50983
8.35,1.50973
8.36667,1.50962
8.38333,1.50952
8.4,1.50908
8.41667,1.50885
8.43333,1.50906
8.45,1.50911
8.46667,1.50913
8.48333,1.5088
8.5,1.50863
8.51667,1.50886
8.53333,1.50896
8.55,1.50903
8.56667,1.50875
8.58333,1.50862
8.6,1.50888
8.61667,1.50906
8.63333,1.50923
8.65,1.50936
8.66667,1.50945
8.68333,1.50963
8.7,1.50989
8.71667,1.51009
8.73333,1.5103
8.75,1.51051
8.76667,1.51077
8.78333,1.51107
8.8,1.51136
8.81667,1.51168
8.83333,1.51204
8.85,1.51239
8.86667,1.51276
8.88333,1.51315
8.9,1.51355
8.91667,1.51396
8.93333,1.51438
8.95,1.51485
8.96667,1.51535
8.98333,1.51585
9,1.51636
9.01667,1.51686
9.03333,1.51737
9.05,1.51788
9.06667,1.51839
9.08333,1.51889
9.1,1.51938
9.11667,1.51987
9.13333,1.52034
9.15,1.52078
9.16667,1.5212
9.18333,1.52164
9.2,1.52209
9.21667,1.52254
9.23333,1.52298
9.25,1.52343
9.26667,1.52388
9.28333,1.52431
9.3,1.52473
9.31667,1.52514
9.33333,1.52555
9.35,1.52594
9.36667,1.52631
9.38333,1.52665
9.4,1.52704
9.41667,1.52715
9.43333,1.52739
9.45,1.52797
9.46667,1.52838
9.48333,1.52871
9.5,1.52907
9.51667,1.52944
9.53333,1.52978
9.55,1.53009
9.56667,1.53037
9.58333,1.53037
9.6,1.53054
9.61667,1.53098
9.63333,1.53119
9.65,1.53108
9.66667,1.53108
9.68333,1.53096
9.7,1.53084
9.71667,1.53094
9.73333,1.53088
9.75,1.53051
9.76667,1.52986
9.78333,1.52916
9.8,1.52826
9.81667,1.52894
9.83333,1.53101
9.85,1.53254
9.86667,1.53371
9.88333,1.5349
9.9,1.53606
9.91667,1.53712
9.93333,1.53793
9.95,1.53892
9.96667,1.53988
9.98333,1.54092
10,1.54232
10.0167,1.54346
10.0333,1.5446
10.05,1.54574
10.0667,1.54647
10.0833,1.54733
10.1,1.54849
10.1167,1.54944
10.1333,1.5502
10.15,1.55089
10.1667,1.55165
10.1833,1.55244
10.2,1.5533
10.2167,1.55422
10.2333,1.55516
10.25,1.55611
10.2667,1.55707
10.2833,1.55804
10.3,1.55909
10.3167,1.5602
10.3333,1.56132
10.35,1.56245
10.3667,1.56365
10.3833,1.56492
10.4,1.56623
10.4167,1.56765
10.4333,1.56919
10.45,1.57079
10.4667,1.57243
10.4833,1.57411
10.5,1.57583
10.5167,1.57796
10.5333,1.58016
10.55,1.58173
10.5667,1.58354
10.5833,1.58566
10.6,1.58774
10.6167,1.5897
10.6333,1.59172
10.65,1.59406
10.6667,1.59626
10.6833,1.59841
10.7,1.60052
10.7167,1.60258
10.7333,1.6046
10.75,1.60662
10.7667,1.60841
10.7833,1.61044
10.8,1.61289
10.8167,1.61515
10.8333,1.61727
10.85,1.61935
10.8667,1.6211
10.8833,1.62291
10.9,1.62565
10.9167,1.62818
10.9333,1.63062
10.95,1.63319
10.9667,1.6355
10.9833,1.63788
11,1.63968
11.0167,1.64144
11.0333,1.64334
11.05,1.64457
11.0667,1.64589
11.0833,1.64747
11.1,1.64831
11.1167,1.64899
11.1333,1.64984
11.15,1.65013
11.1667,1.65017
11.1833,1.64998
11.2,1.64962
11.2167,1.64927
11.2333,1.64847
11.25,1.64703
11.2667,1.64475
11.2833,1.64271
11.3,1.64082
11.3167,1.63836
11.3333,1.63509
11.35,1.63159
11.3667,1.62826
11.3833,1.62435
11.4,1.61949
11.4167,1.61435
11.4333,1.60928
11.45,1.60366
11.4667,1.59714
11.4833,1.59026
11.5,1.58338
11.5167,1.57565
11.5333,1.56738
11.55,1.55874
11.5667,1.54984
11.5833,1.54045
11.6,1.53047
11.6167,1.52526
11.6333,1.52413
11.65,1.52197
11.6667,1.51906
11.6833,1.52066
11.7,1.52691
11.7167,1.53208
11.7333,1.53671
11.75,1.54086
11.7667,1.54367
11.7833,1.54515
11.8,1.54521
11.8167,1.54501
11.8333,1.5466
11.85,1.54894
11.8667,1.55022
11.8833,1.55077
11.9,1.55068
11.9167,1.5498
11.9333,1.54774
11.95,1.54487
11.9667,1.54281
