Time,Angular velocity
4.83333,2.09446
4.85,2.09298
4.86667,2.09091
4.88333,2.08924
4.9,2.09643
4.91667,2.09536
4.93333,2.09343
4.95,2.08519
4.96667,2.08388
4.98333,2.08288
5,2.08195
5.01667,2.07879
5.03333,2.07696
5.05,2.07537
5.06667,2.07326
5.08333,2.07132
5.1,2.06929
5.11667,2.06733
5.13333,2.06529
5.15,2.06003
5.16667,2.05436
5.18333,2.04655
5.2,2.04458
5.21667,2.04207
5.23333,2.0391
5.25,2.03693
5.26667,2.03492
5.28333,2.03286
5.3,2.03098
5.31667,2.02913
5.33333,2.02749
5.35,2.02541
5.36667,2.02439
5.38333,2.02175
5.4,2.01983
5.41667,2.01705
5.43333,1.99648
5.45,1.99468
5.46667,1.99286
5.48333,1.99708
5.5,1.99585
5.51667,1.99854
5.53333,1.99681
5.55,1.99456
5.56667,1.99273
5.58333,1.99099
5.6,1.99274
5.61667,1.99063
5.63333,1.98157
5.65,1.98166
5.66667,1.98055
5.68333,1.97861
5.7,1.97938
5.71667,1.97761
5.73333,1.97602
5.75,1.97421
5.76667,1.97243
5.78333,1.96962
5.8,1.96749
5.81667,1.96525
5.83333,1.96364
5.85,1.96204
5.86667,1.95996
5.88333,1.95556
5.9,1.95209
5.91667,1.95013
5.93333,1.94758
5.95,1.94437
5.96667,1.94309
5.98333,1.94074
6,1.93766
6.01667,1.93569
6.03333,1.9338
6.05,1.93192
6.06667,1.93021
6.08333,1.92823
6.1,1.92892
6.11667,1.92669
6.13333,1.92496
6.15,1.92284
6.16667,1.92889
6.18333,1.92616
6.2,1.90542
6.21667,1.90374
6.23333,1.90214
6.25,1.90056
6.26667,1.89902
6.28333,1.8975
6.3,1.89656
6.31667,1.89445
6.33333,1.89723
6.35,1.89777
6.36667,1.89629
6.38333,1.8946
6.4,1.89313
6.41667,1.88556
6.43333,1.88293
6.45,1.88084
6.46667,1.87907
6.48333,1.87661
6.5,1.87701
6.51667,1.87479
6.53333,1.87062
6.55,1.86787
6.56667,1.8657
6.58333,1.86368
6.6,1.86172
6.61667,1.85982
6.63333,1.85791
6.65,1.85549
6.66667,1.85365
6.68333,1.85104
6.7,1.84861
6.71667,1.84636
6.73333,1.84144
6.75,1.82651
6.76667,1.82189
6.78333,1.80441
6.8,1.7997
6.81667,1.79184
6.83333,1.78629
6.85,1.77913
6.86667,1.77724
6.88333,1.77883
6.9,1.77623
6.91667,1.77207
6.93333,1.77678
6.95,1.7744
6.96667,1.77222
6.98333,1.77007
7,1.75116
7.01667,1.74803
7.03333,1.74576
7.05,1.74314
7.06667,1.74097
7.08333,1.73899
7.1,1.73634
7.11667,1.73575
7.13333,1.73327
7.15,1.73023
7.16667,1.72737
7.18333,1.72421
7.2,1.716
7.21667,1.71673
7.23333,1.70581
7.25,1.70399
7.26667,1.69969
7.28333,1.6957
7.3,1.69153
7.31667,1.68091
7.33333,1.67014
7.35,1.66753
7.36667,1.65977
7.38333,1.65573
7.4,1.65272
7.41667,1.64919
7.43333,1.64749
7.45,1.64199
7.46667,1.63898
7.48333,1.63664
7.5,1.6341
7.51667,1.63158
7.53333,1.62904
7.55,1.62546
7.56667,1.61927
7.58333,1.6168
7.6,1.61422
7.61667,1.60136
7.63333,1.59192
7.65,1.58667
7.66667,1.58372
7.68333,1.58086
7.7,1.57719
7.71667,1.57388
7.73333,1.57621
7.75,1.57476
7.76667,1.57416
7.78333,1.57365
7.8,1.57405
7.81667,1.57366
7.83333,1.57087
