Time,Position (y)
12.9,1.53948
12.9167,1.54038
12.9333,1.54114
12.95,1.54188
12.9667,1.54261
12.9833,1.54335
13,1.54411
13.0167,1.54488
13.0333,1.54565
13.05,1.54638
13.0667,1.54707
13.0833,1.54772
13.1,1.54835
13.1167,1.54943
13.1333,1.5506
13.15,1.55106
13.1667,1.55174
13.1833,1.55264
13.2,1.55343
13.2167,1.55438
13.2333,1.55529
13.25,1.55621
13.2667,1.55716
13.2833,1.55816
13.3,1.55918
13.3167,1.56023
13.3333,1.56134
13.35,1.56251
13.3667,1.56372
13.3833,1.56496
13.4,1.56619
13.4167,1.56742
13.4333,1.56867
13.45,1.56998
13.4667,1.57132
13.4833,1.57265
13.5,1.57404
13.5167,1.57516
13.5333,1.57648
13.55,1.5782
13.5667,1.57985
13.5833,1.5815
13.6,1.58313
13.6167,1.58478
13.6333,1.58645
13.65,1.58811
13.6667,1.5898
13.6833,1.59119
13.7,1.59289
13.7167,1.59498
13.7333,1.59687
13.75,1.59879
13.7667,1.60074
13.7833,1.6033
13.8,1.60617
13.8167,1.6084
13.8333,1.61103
13.85,1.61419
13.8667,1.6171
13.8833,1.61958
13.9,1.6222
13.9167,1.62516
13.9333,1.62785
13.95,1.63008
13.9667,1.63232
13.9833,1.63476
14,1.63691
14.0167,1.63859
14.0333,1.64026
14.05,1.64211
14.0667,1.644
14.0833,1.64565
14.1,1.6472
14.1167,1.6486
14.1333,1.64978
14.15,1.65101
14.1667,1.65187
14.1833,1.65216
14.2,1.652
14.2167,1.652
14.2333,1.65197
14.25,1.65122
14.2667,1.64998
14.2833,1.64856
14.3,1.64706
14.3167,1.64525
14.3333,1.643
14.35,1.64026
14.3667,1.63719
14.3833,1.63369
14.4,1.62943
14.4167,1.62503
14.4333,1.62059
14.45,1.61549
14.4667,1.60988
14.4833,1.60388
14.5,1.59745
14.5167,1.59049
14.5333,1.58302
14.55,1.57516
14.5667,1.56665
14.5833,1.55777
14.6,1.54865
14.6167,1.53859
14.6333,1.5279
14.65,1.52252
14.6667,1.52177
14.6833,1.5198
14.7,1.5169
14.7167,1.51893
14.7333,1.52537
14.75,1.5305
14.7667,1.53432
14.7833,1.53721
14.8,1.53983
14.8167,1.5415
14.8333,1.54356
14.85,1.54615
14.8667,1.54732
14.8833,1.54839
14.9,1.54934
14.9167,1.54852
14.9333,1.54702
14.95,1.54497
14.9667,1.54335
14.9833,1.54503
15,1.54798
15.0167,1.54963
15.0333,1.54996
15.05,1.54994
15.0667,1.55024
15.0833,1.54988
15.1,1.54904
15.1167,1.54902
15.1333,1.54928
15.15,1.54901
15.1667,1.54871
15.1833,1.54814
15.2,1.54747
15.2167,1.54652
15.2333,1.54544
15.25,1.54449
15.2667,1.54336
15.2833,1.54216
15.3,1.54082
15.3167,1.53941
15.3333,1.53792
15.35,1.53628
15.3667,1.5342
15.3833,1.53226
15.4,1.53063
15.4167,1.52872
15.4333,1.52668
15.45,1.52454
15.4667,1.52238
15.4833,1.51989
15.5,1.51745
