Time,Position (x)
12.9,-1.88379
12.9167,-1.87978
12.9333,-1.87585
12.95,-1.87185
12.9667,-1.86779
12.9833,-1.86368
13,-1.85948
13.0167,-1.85522
13.0333,-1.85097
13.05,-1.84677
13.0667,-1.84266
13.0833,-1.83863
13.1,-1.83462
13.1167,-1.83116
13.1333,-1.82836
13.15,-1.82567
13.1667,-1.823
13.1833,-1.82033
13.2,-1.81778
13.2167,-1.81528
13.2333,-1.81274
13.25,-1.81017
13.2667,-1.8077
13.2833,-1.80533
13.3,-1.80295
13.3167,-1.80061
13.3333,-1.79824
13.35,-1.79585
13.3667,-1.79348
13.3833,-1.79117
13.4,-1.78893
13.4167,-1.78678
13.4333,-1.78469
13.45,-1.7826
13.4667,-1.78053
13.4833,-1.77856
13.5,-1.77668
13.5167,-1.7748
13.5333,-1.77298
13.55,-1.77121
13.5667,-1.76942
13.5833,-1.76765
13.6,-1.76594
13.6167,-1.76436
13.6333,-1.76295
13.65,-1.76162
13.6667,-1.76035
13.6833,-1.75913
13.7,-1.75802
13.7167,-1.75709
13.7333,-1.75629
13.75,-1.75563
13.7667,-1.75515
13.7833,-1.75238
13.8,-1.74733
13.8167,-1.7424
13.8333,-1.73819
13.85,-1.73471
13.8667,-1.73146
13.8833,-1.72849
13.9,-1.72587
13.9167,-1.72363
13.9333,-1.72176
13.95,-1.72021
13.9667,-1.71911
13.9833,-1.71851
14,-1.7183
14.0167,-1.71846
14.0333,-1.71908
14.05,-1.7202
14.0667,-1.72076
14.0833,-1.72086
14.1,-1.72165
14.1167,-1.72294
14.1333,-1.72463
14.15,-1.72678
14.1667,-1.7293
14.1833,-1.73211
14.2,-1.73531
14.2167,-1.73905
14.2333,-1.74326
14.25,-1.7478
14.2667,-1.75268
14.2833,-1.758
14.3,-1.76384
14.3167,-1.7701
14.3333,-1.77675
14.35,-1.78378
14.3667,-1.79127
14.3833,-1.79921
14.4,-1.80751
14.4167,-1.81624
14.4333,-1.82549
14.45,-1.83516
14.4667,-1.84523
14.4833,-1.85572
14.5,-1.86662
14.5167,-1.87795
14.5333,-1.88967
14.55,-1.90177
14.5667,-1.91422
14.5833,-1.92709
14.6,-1.94037
14.6167,-1.95397
14.6333,-1.96784
14.65,-1.97668
14.6667,-1.98042
14.6833,-1.98433
14.7,-1.98847
14.7167,-1.99158
14.7333,-1.99354
14.75,-1.99557
14.7667,-1.99768
14.7833,-2.00175
14.8,-2.00775
14.8167,-2.01378
14.8333,-2.01877
14.85,-2.02271
14.8667,-2.02672
14.8833,-2.03121
14.9,-2.03618
14.9167,-2.04118
14.9333,-2.04627
14.95,-2.05149
14.9667,-2.05642
14.9833,-2.05904
15,-2.05969
15.0167,-2.06035
15.0333,-2.06102
15.05,-2.06204
15.0667,-2.06331
15.0833,-2.06443
15.1,-2.06564
15.1167,-2.06609
15.1333,-2.06557
15.15,-2.06524
15.1667,-2.06478
15.1833,-2.06375
15.2,-2.06249
15.2167,-2.06103
15.2333,-2.05918
15.25,-2.05704
15.2667,-2.05477
15.2833,-2.05232
15.3,-2.04963
15.3167,-2.04662
15.3333,-2.04326
15.35,-2.03966
15.3667,-2.03586
15.3833,-2.03165
15.4,-2.02703
15.4167,-2.02214
15.4333,-2.01693
15.45,-2.01139
15.4667,-2.00551
15.4833,-1.99936
15.5,-1.99287
15.5167,-1.98763
15.5333,-1.98383
15.55,-1.97991
15.5667,-1.97582
15.5833,-1.97159
15.6,-1.96724
15.6167,-1.96279
15.6333,-1.95827
15.65,-1.95367
15.6667,-1.94896
15.6833,-1.94579
15.7,-1.94419
15.7167,-1.94252
15.7333,-1.94077
15.75,-1.93896
15.7667,-1.93709
15.7833,-1.93518
15.8,-1.93319
15.8167,-1.93107
15.8333,-1.92889
15.85,-1.9268
15.8667,-1.92483
15.8833,-1.92286
15.9,-1.92104
15.9167,-1.919
15.9333,-1.91651
15.95,-1.91397
15.9667,-1.91142
15.9833,-1.90888
16,-1.90608
16.0167,-1.90304
16.0333,-1.90006
16.05,-1.89705
16.0667,-1.89392
16.0833,-1.89067
16.1,-1.88729
16.1167,-1.88378
16.1333,-1.88016
16.15,-1.87643
16.1667,-1.87262
16.1833,-1.86874
16.2,-1.86481
16.2167,-1.86088
16.2333,-1.85693
16.25,-1.8529
16.2667,-1.84882
16.2833,-1.84468
16.3,-1.84052
16.3167,-1.83637
16.3333,-1.83222
16.35,-1.82808
16.3667,-1.82397
16.3833,-1.8199
16.4,-1.81582
16.4167,-1.81174
16.4333,-1.80772
16.45,-1.80377
16.4667,-1.79989
16.4833,-1.79607
16.5,-1.79231
16.5167,-1.78864
16.5333,-1.78504
16.55,-1.78226
16.5667,-1.78032
16.5833,-1.77849
16.6,-1.77663
16.6167,-1.77472
16.6333,-1.77291
16.65,-1.7712
16.6667,-1.76954
16.6833,-1.76799
16.7,-1.76657
16.7167,-1.76532
16.7333,-1.76424
16.75,-1.76331
16.7667,-1.76247
16.7833,-1.7618
16.8,-1.76131
16.8167,-1.76102
16.8333,-1.76092
16.85,-1.76098
16.8667,-1.75941
16.8833,-1.75625
16.9,-1.75366
16.9167,-1.75165
16.9333,-1.74987
16.95,-1.74833
16.9667,-1.74706
16.9833,-1.74611
17,-1.7455
17.0167,-1.74519
17.0333,-1.74521
17.05,-1.74555
17.0667,-1.74622
17.0833,-1.74716
17.1,-1.74839
17.1167,-1.75
17.1333,-1.75188
17.15,-1.75345
17.1667,-1.7548
17.1833,-1.75656
17.2,-1.75865
17.2167,-1.76103
17.2333,-1.76367
17.25,-1.76657
17.2667,-1.76977
17.2833,-1.77316
17.3,-1.77684
17.3167,-1.78085
17.3333,-1.78516
17.35,-1.78973
17.3667,-1.79465
17.3833,-1.79995
17.4,-1.8055
17.4167,-1.8113
17.4333,-1.81738
17.45,-1.82372
17.4667,-1.83039
17.4833,-1.83738
17.5,-1.8447
17.5167,-1.85243
17.5333,-1.86044
17.55,-1.86879
17.5667,-1.87751
17.5833,-1.88657
17.6,-1.89607
17.6167,-1.90594
17.6333,-1.91609
17.65,-1.92658
17.6667,-1.93752
17.6833,-1.94887
17.7,-1.96059
17.7167,-1.9726
17.7333,-1.98487
17.75,-1.99747
17.7667,-2.01037
17.7833,-2.02356
17.8,-2.03699
17.8167,-2.04542
17.8333,-2.04887
17.85,-2.05252
17.8667,-2.05371
17.8833,-2.05234
17.9,-2.05106
17.9167,-2.05133
17.9333,-2.05314
17.95,-2.05493
17.9667,-2.05661
17.9833,-2.05826
18,-2.06032
18.0167,-2.06279
18.0333,-2.06528
18.05,-2.06787
18.0667,-2.07063
18.0833,-2.07359
18.1,-2.07674
18.1167,-2.0784
18.1333,-2.07856
18.15,-2.07883
18.1667,-2.07935
18.1833,-2.07823
18.2,-2.07523
18.2167,-2.07221
18.2333,-2.06981
18.25,-2.0686
18.2667,-2.06806
18.2833,-2.06768
18.3,-2.06748
18.3167,-2.0667
18.3333,-2.06541
18.35,-2.06438
18.3667,-2.06333
18.3833,-2.06185
18.4,-2.06013
18.4167,-2.05844
18.4333,-2.05677
18.45,-2.055
18.4667,-2.05297
18.4833,-2.0509
18.5,-2.04867
18.5167,-2.04627
18.5333,-2.04371
18.55,-2.0417
18.5667,-2.04029
18.5833,-2.03887
18.6,-2.03757
18.6167,-2.03634
18.6333,-2.03536
18.65,-2.03443
18.6667,-2.03324
