Time,x,y,omega
8.08333,-2.02757375,1.5249537499999999,0.449811125
8.1,-2.0297466666666666,1.5255611111111111,0.4472784444444444
8.11667,-2.0319089999999997,1.526133,0.44680369999999997
8.13333,-2.034091818181818,1.5266363636363636,0.4458613636363636
8.15,-2.03616,1.527115,0.4449435
8.16667,-2.0380192307692306,1.5275784615384613,0.4425801538461538
8.18333,-2.0397514285714284,1.5279657142857144,0.441324
8.2,-2.0414179999999997,1.5282446666666667,0.440023
8.21667,-2.045398,1.5281186666666666,0.4374133333333333
8.23333,-2.0490459999999997,1.52821,0.43624720000000006
8.25,-2.0522553333333335,1.528666,0.43442153333333333
8.26667,-2.055024,1.5294653333333335,0.43260106666666664
8.28333,-2.0574326666666667,1.5303206666666669,0.43112486666666666
8.3,-2.0595673333333333,1.5308993333333334,0.4298033333333333
8.31667,-2.0614326666666667,1.5311766666666666,0.42818126666666667
8.33333,-2.06303,1.5311546666666667,0.42627553333333335
8.35,-2.064335333333333,1.5308640000000002,0.42578513333333334
8.36667,-2.0652806666666668,1.5304006666666665,0.42469100000000004
8.38333,-2.065812,1.529828,0.424231
8.4,-2.0660346666666665,1.529052,0.42416180000000003
8.41667,-2.066048,1.5280360000000002,0.4253483333333333
8.43333,-2.065784,1.526878,0.42593299999999995
8.45,-2.065183333333333,1.525634,0.4269500666666667
8.46667,-2.0642253333333334,1.5243700000000002,0.4277720666666667
8.48333,-2.062988,1.5229633333333332,0.42692159999999996
8.5,-2.0615433333333333,1.521284,0.4271456
8.51667,-2.05994,1.5195786666666669,0.4270243333333334
8.53333,-2.058289333333333,1.5180259999999999,0.42701266666666665
8.55,-2.0566180000000003,1.5166019999999998,0.4275522
8.56667,-2.0549006666666667,1.5153233333333336,0.4282019333333333
8.58333,-2.0531193333333335,1.5142053333333334,0.4287900666666667
8.6,-2.0512833333333336,1.5132386666666666,0.42944173333333335
8.61667,-2.0494386666666666,1.5123286666666667,0.4291692666666666
8.63333,-2.047616,1.5114033333333334,0.4284607333333333
8.65,-2.045812,1.5104726666666666,0.42727566666666666
8.66667,-2.044038,1.5096893333333332,0.4255868
8.68333,-2.0423346666666666,1.509148,0.42361846666666664
8.7,-2.0407266666666666,1.5087853333333332,0.4203651333333333
8.71667,-2.039226,1.5085733333333333,0.4169736666666667
8.73333,-2.0378433333333335,1.5085353333333336,0.41435513333333335
8.75,-2.036588666666667,1.5087046666666668,0.4121197333333333
8.76667,-2.0353973333333335,1.5088833333333334,0.4093119333333333
8.78333,-2.0341993333333335,1.5088793333333332,0.4053568666666667
8.8,-2.0330053333333336,1.5087453333333334,0.4010862666666667
8.81667,-2.0318253333333334,1.5085439999999999,0.3969378
8.83333,-2.0306626666666667,1.5083086666666667,0.39308753333333335
8.85,-2.0295246666666666,1.5080606666666665,0.3893010666666667
8.86667,-2.0284133333333334,1.507846,0.38601080000000004
8.88333,-2.0272966666666665,1.5077559999999999,0.3824881333333333
8.9,-2.026143333333333,1.5078539999999998,0.3791858
8.91667,-2.0249433333333333,1.5079726666666668,0.3765235333333334
8.93333,-2.0236873333333336,1.507994,0.3740662
8.95,-2.022368,1.5079973333333332,0.3728216
8.96667,-2.02098,1.508016,0.3719127333333333
8.98333,-2.019524666666667,1.5080419999999999,0.37065600000000004
9.0,-2.0180013333333333,1.5080493333333331,0.36892853333333336
9.01667,-2.016405333333333,1.50805,0.3678253333333333
9.03333,-2.014728,1.5080726666666668,0.3679805333333333
9.05,-2.0129573333333335,1.5081106666666668,0.3682574666666667
9.06667,-2.011082,1.5081440000000002,0.3689917333333333
9.08333,-2.0090946666666665,1.508182,0.3702551333333333
9.1,-2.0069886666666665,1.5082506666666666,0.37062753333333326
9.11667,-2.004762,1.5083526666666667,0.3707050666666667
9.13333,-2.0024473333333335,1.5084366666666669,0.371105
9.15,-2.0000733333333334,1.5085026666666665,0.3718936
9.16667,-1.99764,1.5085993333333332,0.3728703333333333
9.18333,-1.9951453333333333,1.5087133333333334,0.3737390666666666
9.2,-1.9925933333333332,1.5088206666666664,0.3741822
9.21667,-1.9899859999999998,1.5089366666666668,0.37469226666666666
9.23333,-1.98732,1.5090613333333331,0.3755385333333333
9.25,-1.9845946666666667,1.5091966666666667,0.3772678666666666
9.26667,-1.9818073333333333,1.5093433333333335,0.3797572
9.28333,-1.97896,1.5095006666666668,0.3821771333333333
9.3,-1.9760553333333335,1.5096713333333331,0.38457346666666664
9.31667,-1.9730973333333333,1.5098566666666666,0.38649453333333333
9.33333,-1.9700920000000002,1.5100573333333334,0.38800946666666664
9.35,-1.9670400000000001,1.510276,0.3908063333333333
9.36667,-1.963938,1.5105133333333332,0.3943582666666667
9.38333,-1.9607866666666667,1.5107713333333332,0.39819940000000004
9.4,-1.9575893333333334,1.5110506666666665,0.40178093333333337
9.41667,-1.9543466666666667,1.5113533333333333,0.4059624666666667
9.43333,-1.951061333333333,1.5116806666666667,0.4101845333333333
9.45,-1.9477366666666667,1.5120326666666668,0.41450726666666665
9.46667,-1.9443733333333335,1.512411333333333,0.41924466666666665
9.48333,-1.9409746666666667,1.5128173333333335,0.4238708666666667
9.5,-1.937546,1.5132506666666667,0.42770273333333336
9.51667,-1.9340946666666667,1.5137113333333332,0.4311062666666667
9.53333,-1.930626,1.5142,0.4342828
9.55,-1.9271413333333334,1.5147173333333335,0.438284
9.56667,-1.923641333333333,1.515264,0.44262713333333337
9.58333,-1.9201293333333331,1.5158406666666666,0.44677
9.6,-1.91661,1.5164473333333333,0.4505921333333333
9.61667,-1.9130886666666667,1.5170833333333333,0.45443953333333337
9.63333,-1.9095686666666667,1.5177493333333336,0.4580368
9.65,-1.906056,1.5184440000000001,0.46107980000000004
9.66667,-1.9025593333333333,1.5191659999999998,0.46308479999999996
9.68333,-1.899084,1.519914,0.4654494
9.7,-1.8956293333333332,1.5206886666666668,0.46896366666666667
9.71667,-1.8921953333333332,1.52149,0.47281533333333337
9.73333,-1.888784,1.5223186666666666,0.4771706
9.75,-1.8853946666666668,1.5231773333333334,0.48215973333333334
9.76667,-1.8820286666666666,1.5240666666666667,0.487091
9.78333,-1.8786886666666667,1.5249853333333332,0.4917569333333333
9.8,-1.8753813333333333,1.5259313333333333,0.49528120000000003
9.81667,-1.8721133333333335,1.526902,0.4983814666666666
9.83333,-1.8688873333333333,1.5278966666666667,0.5018012666666667
9.85,-1.8657026666666667,1.5289146666666666,0.5057372666666667
9.86667,-1.8625626666666666,1.5299553333333333,0.5091166
9.88333,-1.8594706666666667,1.5310166666666667,0.512869
9.9,-1.8564246666666666,1.5320993333333335,0.5177305333333334
9.91667,-1.853424,1.5332066666666668,0.5227998
9.93333,-1.8504639999999999,1.5343419999999999,0.5296044666666667
9.95,-1.8475433333333335,1.5355066666666668,0.536076
9.96667,-1.8446666666666667,1.5366973333333331,0.5412675333333333
9.98333,-1.8418400000000001,1.53791,0.5460942000000001
10.0,-1.8390686666666667,1.5391406666666667,0.5501913999999999
10.0167,-1.8363566666666666,1.5403906666666667,0.5538867333333334
10.0333,-1.8337059999999998,1.5416413333333334,0.5573348666666667
10.05,-1.8311173333333335,1.5429006666666667,0.5615110666666666
10.0667,-1.8285926666666665,1.5441913333333335,0.5656628666666668
10.0833,-1.8261333333333334,1.545502,0.569583
10.1,-1.82374,1.5468333333333333,0.5737648666666666
10.1167,-1.8214080000000001,1.548192,0.5798985333333334
10.1333,-1.8191326666666667,1.5495780000000001,0.5858724
